0.4275,-0.4427,-0.2214
0.4275,-0.3817,-0.2443
0.4122,-0.4427,-0.1985
0.4275,-0.3969,-0.2748
0.3893,-0.4046,-0.2290
0.3435,-0.3817,-0.2595
0.3588,-0.4198,-0.2443
0.3817,-0.4351,-0.2672
0.4122,-0.4580,-0.2901
0.3664,-0.4046,-0.2290
0.4198,-0.4580,-0.2366
0.4122,-0.4046,-0.2290
0.4122,-0.4427,-0.2672
0.4046,-0.3969,-0.2672
0.4504,-0.4656,-0.2214
0.4046,-0.4656,-0.2061
0.3893,-0.3969,-0.2214
0.4046,-0.4275,-0.2061
0.4351,-0.4809,-0.2366
0.3664,-0.3664,-0.2595
0.3740,-0.3435,-0.2748
0.4427,-0.4427,-0.2443
0.4122,-0.4275,-0.2137
0.3740,-0.5420,-0.2214
0.3969,-0.4885,-0.2443
0.3969,-0.4656,-0.2519
0.3969,-0.4504,-0.2214
0.4198,-0.4198,-0.1908
0.4351,-0.4046,-0.2061
0.3588,-0.4427,-0.2672
0.3664,-0.3969,-0.2977
0.4046,-0.3893,-0.2824
0.4275,-0.4504,-0.2824
0.4198,-0.4198,-0.2519
0.4122,-0.4733,-0.2443
0.4275,-0.4351,-0.2137
0.4198,-0.4504,-0.1450
0.4046,-0.4198,-0.1756
0.4122,-0.3664,-0.2595
0.4122,-0.3893,-0.2366
0.3969,-0.4198,-0.2366
0.4275,-0.4962,-0.1985
0.3893,-0.4198,-0.2366
0.4275,-0.4580,-0.2061
0.3740,-0.3817,-0.2519
0.3893,-0.4275,-0.2672
0.4198,-0.4504,-0.2519
0.3969,-0.4046,-0.2366
0.4198,-0.4809,-0.2748
0.4122,-0.4809,-0.2901
0.4275,-0.4427,-0.2366
0.3969,-0.4122,-0.2519
0.4198,-0.5420,-0.2061
0.4122,-0.4656,-0.2901
0.4198,-0.4427,-0.2977
0.4580,-0.4351,-0.2748
0.4275,-0.4198,-0.2443
0.3817,-0.3511,-0.2366
0.3817,-0.3969,-0.2290
0.3969,-0.3664,-0.2061
0.3206,-0.3969,-0.2290
0.4656,-0.4504,-0.2672
0.3817,-0.4275,-0.2290
0.3740,-0.4122,-0.2519
0.4122,-0.4198,-0.3053
0.4046,-0.3893,-0.2595
0.4351,-0.3969,-0.2672
0.4427,-0.4962,-0.2519
0.4046,-0.3588,-0.2672
0.4198,-0.4198,-0.2595
0.3817,-0.4427,-0.2595
0.3893,-0.4809,-0.2519
0.4122,-0.4122,-0.2290
0.3511,-0.3511,-0.2061
0.4198,-0.4122,-0.2137
0.3817,-0.4122,-0.2061
0.3740,-0.4733,-0.2366
0.4122,-0.4962,-0.2977
0.4046,-0.4427,-0.2443
0.4351,-0.4046,-0.2519
0.3969,-0.3588,-0.2748
0.3969,-0.4122,-0.1985
0.3817,-0.4885,-0.2290
0.3740,-0.4275,-0.2290
0.3588,-0.3664,-0.2214
0.3511,-0.4046,-0.2366
0.4198,-0.4962,-0.2443
0.3969,-0.4733,-0.2595
0.3588,-0.4351,-0.2443
0.4198,-0.4275,-0.2748
0.4198,-0.4046,-0.2519
0.3893,-0.4275,-0.2214
0.4122,-0.4351,-0.2214
0.4275,-0.4580,-0.2443
0.4198,-0.5420,-0.2977
0.4351,-0.4504,-0.2595
0.3740,-0.3588,-0.2748
0.4122,-0.4198,-0.2519
0.4198,-0.4427,-0.2672
0.4198,-0.4122,-0.2443
0.3969,-0.4046,-0.2290
0.4427,-0.4733,-0.2748
0.4427,-0.5191,-0.2214
0.4351,-0.4427,-0.2595
0.4504,-0.4427,-0.2748
0.3969,-0.4580,-0.2595
0.3588,-0.4198,-0.2748
0.4580,-0.4733,-0.2366
0.3511,-0.3511,-0.2366
0.3969,-0.4656,-0.2214
0.3664,-0.4198,-0.2443
0.4733,-0.4427,-0.2443
0.4046,-0.3740,-0.1985
0.4198,-0.4656,-0.2290
0.4275,-0.4580,-0.2595
0.3740,-0.4351,-0.2443
0.3969,-0.3969,-0.2519
0.3740,-0.4046,-0.1985
0.3969,-0.3969,-0.2290
0.3588,-0.3817,-0.2748
0.4046,-0.4580,-0.2443
0.3740,-0.4198,-0.2366
0.3664,-0.4733,-0.2824
0.4198,-0.4885,-0.2519
0.3664,-0.4809,-0.2366
0.3740,-0.4198,-0.2824
0.3588,-0.3664,-0.2672
0.4198,-0.3664,-0.2595
0.4504,-0.5038,-0.2595
0.3893,-0.3817,-0.3053
0.4198,-0.4504,-0.2519
0.3817,-0.3740,-0.2290
0.3893,-0.4733,-0.1450
0.4275,-0.4580,-0.2443
0.4198,-0.4122,-0.2901
0.3893,-0.4198,-0.2595
0.3511,-0.4427,-0.2672
0.3817,-0.4351,-0.2214
0.4046,-0.4046,-0.1985
0.4275,-0.4427,-0.2214
0.4198,-0.4351,-0.1985
0.3740,-0.4122,-0.2366
0.4122,-0.5573,-0.2214
0.3817,-0.4046,-0.2595
0.3435,-0.3740,-0.2443
0.3664,-0.4427,-0.2366
0.4122,-0.4580,-0.2519
0.4122,-0.4580,-0.3130
0.4122,-0.4122,-0.2290
0.3511,-0.4504,-0.2519
0.4046,-0.3740,-0.2214
0.4656,-0.4504,-0.2290
0.3664,-0.4275,-0.2824
0.3435,-0.3893,-0.2366
0.3740,-0.4809,-0.1908
0.3817,-0.4275,-0.2137
0.3588,-0.4351,-0.2595
0.4275,-0.4351,-0.2137
0.4504,-0.5115,-0.1985
0.4198,-0.5191,-0.2519
0.4656,-0.5115,-0.2519
0.4046,-0.4198,-0.2595
0.3817,-0.5344,-0.2901
0.4122,-0.4809,-0.2214
0.4656,-0.4962,-0.2366
0.4351,-0.4656,-0.2290
0.3588,-0.3588,-0.2366
0.3130,-0.2977,-0.2443
0.3588,-0.3588,-0.2137
0.3359,-0.4504,-0.2824
0.3664,-0.4427,-0.1985
0.4198,-0.3893,-0.1985
0.4504,-0.5038,-0.2366
0.3740,-0.3817,-0.2519
0.3511,-0.3588,-0.1985
0.3740,-0.4580,-0.1985
0.3588,-0.5191,-0.2214
0.3435,-0.4198,-0.2595
0.3817,-0.4809,-0.2061
0.4275,-0.4733,-0.2519
0.4656,-0.3359,-0.2290
0.3969,-0.3817,-0.2519
0.4427,-0.4656,-0.2672
0.3740,-0.4275,-0.2595
0.3817,-0.3893,-0.2901
0.4962,-0.5420,-0.2443
0.4656,-0.4427,-0.2595
0.3817,-0.3893,-0.2824
0.3893,-0.4580,-0.2595
0.4046,-0.5115,-0.2061
0.3893,-0.4580,-0.2519
0.4046,-0.4427,-0.2366
0.3588,-0.3511,-0.2748
0.4046,-0.3817,-0.2595
0.4046,-0.4504,-0.2595
0.3282,-0.3664,-0.2824
0.4122,-0.4885,-0.2443
0.4046,-0.4809,-0.2519
0.3740,-0.4885,-0.2061
0.4351,-0.5573,-0.2824
0.4275,-0.4351,-0.1908
0.3511,-0.4198,-0.2595
0.3817,-0.3740,-0.2595
0.4198,-0.4504,-0.2137
0.4427,-0.4733,-0.2595
0.3893,-0.5115,-0.2214
0.3817,-0.4046,-0.2519
0.3511,-0.4733,-0.2672
0.3511,-0.4046,-0.1985
0.3969,-0.4198,-0.2366
0.3664,-0.4198,-0.2519
0.3588,-0.4427,-0.2595
0.3664,-0.4580,-0.2137
0.4122,-0.4580,-0.2214
0.4122,-0.4198,-0.2214
0.3969,-0.4046,-0.2214
0.4198,-0.5267,-0.2061
0.4198,-0.4809,-0.2214
0.3893,-0.4275,-0.1908
0.4427,-0.5115,-0.3053
0.5038,-0.4351,-0.2366
0.4504,-0.4122,-0.1908
0.3588,-0.3359,-0.2137
0.3893,-0.4580,-0.2748
0.4046,-0.4122,-0.3053
0.3893,-0.3969,-0.2519
0.3969,-0.4046,-0.2443
0.3740,-0.3511,-0.2748
0.4275,-0.4198,-0.2748
0.4046,-0.4427,-0.2443
0.3817,-0.4275,-0.2672
0.4427,-0.4504,-0.2366
0.3817,-0.4656,-0.2137
0.4046,-0.4809,-0.2595
0.4504,-0.4427,-0.2595
0.3740,-0.4427,-0.2061
0.3740,-0.3969,-0.2519
0.3206,-0.3969,-0.2366
0.4427,-0.4733,-0.2519
0.5038,-0.4809,-0.2443
0.3817,-0.4122,-0.2748
0.3664,-0.3817,-0.2595
0.4275,-0.5115,-0.2595
0.4198,-0.4733,-0.2595
0.4275,-0.4885,-0.2748
0.4046,-0.4885,-0.2366
0.3893,-0.3282,-0.2824
0.3893,-0.4198,-0.2901
0.3435,-0.3740,-0.2977
0.3511,-0.3588,-0.2366
0.4046,-0.4275,-0.2748
0.4275,-0.4275,-0.2443
0.4198,-0.5267,-0.2595
0.3817,-0.3588,-0.1985
0.3511,-0.3206,-0.2214
0.3893,-0.4351,-0.2214
0.3817,-0.4427,-0.2748
0.3969,-0.4122,-0.2214
0.3969,-0.3740,-0.2672
0.4198,-0.4427,-0.2290
0.4733,-0.4198,-0.2443
0.4275,-0.4504,-0.2595
0.3969,-0.4198,-0.2366
0.3969,-0.4122,-0.2443
0.4198,-0.4351,-0.2290
0.4122,-0.5115,-0.2748
0.4656,-0.5267,-0.2672
0.4046,-0.3969,-0.2595
0.3969,-0.4275,-0.2595
0.4122,-0.4580,-0.2748
0.3588,-0.3817,-0.2748
0.3664,-0.4046,-0.2519
0.3969,-0.5038,-0.2901
0.4275,-0.4733,-0.2214
0.4733,-0.5038,-0.2672
0.4504,-0.5344,-0.3053
0.4122,-0.5496,-0.1908
0.2748,-0.1679,-0.2901
0.4351,-0.5038,-0.2137
0.3893,-0.3359,-0.2824
0.3664,-0.3282,-0.2519
0.3511,-0.4580,-0.2977
0.3511,-0.4198,-0.2748
0.3359,-0.3664,-0.2214
0.4351,-0.5267,-0.2137
0.4122,-0.4122,-0.2443
0.3893,-0.4427,-0.2443
0.4046,-0.4656,-0.2595
0.4275,-0.4198,-0.2061
0.4046,-0.4885,-0.2290
0.4046,-0.5420,-0.1985
0.4427,-0.5038,-0.2366
0.4427,-0.4275,-0.2443
0.3893,-0.4427,-0.2672
0.3435,-0.4122,-0.2672
0.3969,-0.4427,-0.2901
0.3969,-0.4198,-0.2748
0.3130,-0.4198,-0.2748
0.3435,-0.4275,-0.2443
0.3969,-0.4046,-0.2519
0.3969,-0.4656,-0.2137
0.4962,-0.3817,-0.2137
0.3740,-0.4046,-0.2290
0.4580,-0.3664,-0.2672
0.4733,-0.5344,-0.2137
0.4046,-0.4275,-0.2290
0.3740,-0.4656,-0.2519
0.3893,-0.4733,-0.2061
0.4351,-0.4198,-0.2519
0.3969,-0.5267,-0.2290
0.4275,-0.5267,-0.2443
0.4046,-0.4351,-0.2595
0.3969,-0.4275,-0.2901
0.3588,-0.3511,-0.3206
0.3130,-0.4122,-0.2366
0.3969,-0.4351,-0.2366
0.3511,-0.4122,-0.2519
0.4275,-0.3740,-0.2443
0.4198,-0.4580,-0.2595
0.3740,-0.4885,-0.2672
0.4046,-0.4504,-0.2595
0.4427,-0.5038,-0.1908
0.4275,-0.3969,-0.2290
0.3511,-0.3969,-0.1985
0.4046,-0.3664,-0.2443
0.4198,-0.4351,-0.2443
0.3206,-0.4046,-0.2366
0.4275,-0.4427,-0.2214
0.3969,-0.3664,-0.2748
0.4275,-0.4275,-0.2443
0.3969,-0.4504,-0.1908
0.3740,-0.4809,-0.1756
0.4122,-0.4885,-0.2443
0.4351,-0.4275,-0.2290
0.4046,-0.4122,-0.2214
0.3893,-0.4504,-0.2443
0.4427,-0.4351,-0.2672
0.3969,-0.3511,-0.2443
0.4122,-0.4046,-0.2824
0.4046,-0.4580,-0.2519
0.3817,-0.3893,-0.2290
0.4275,-0.3740,-0.2748
0.3588,-0.4275,-0.1985
0.3664,-0.4046,-0.2595
0.4046,-0.4351,-0.2443
0.3969,-0.5420,-0.2137
0.3969,-0.4885,-0.2748
0.4198,-0.4733,-0.2519
0.3817,-0.3740,-0.2366
0.4580,-0.4427,-0.2366
0.3206,-0.4198,-0.3130
0.3740,-0.4198,-0.3359
0.4427,-0.4198,-0.2443
0.3817,-0.5191,-0.2748
0.3511,-0.3282,-0.2595
0.3359,-0.3817,-0.2443
0.3664,-0.4962,-0.2595
0.4046,-0.4122,-0.2214
0.3893,-0.4351,-0.2214
0.3817,-0.4198,-0.2443
0.3664,-0.4733,-0.2595
0.4351,-0.4046,-0.2519
0.5115,-0.4809,-0.2290
0.4580,-0.4275,-0.2672
0.3817,-0.4504,-0.2443
